Generation,BestGen,BestEver,AvgFitness,EliteIndex
0,7.700,7.700,-304.618,4
1,1.700,7.700,-327.680,43
2,2.300,7.700,-245.109,28
3,2.500,7.700,-222.750,16
4,22.100,22.100,-192.757,5
5,4.700,22.100,-143.604,44
6,2.300,22.100,-185.561,31
7,6.900,22.100,-142.741,50
8,5.700,22.100,-175.818,36
9,3.400,22.100,-146.000,26
10,6.300,22.100,-188.405,50
11,4.400,22.100,-91.795,14
12,5.400,22.100,-182.573,23
13,3.200,22.100,-85.804,36
14,8.100,22.100,-153.064,23
15,3.300,22.100,-115.595,32
16,4.400,22.100,-132.893,32
17,5.600,22.100,-157.545,55
18,3.900,22.100,-147.488,26
19,2.400,22.100,-169.100,34
20,4.500,22.100,-91.995,22
21,8.100,22.100,-191.805,0
22,22.100,22.100,-158.345,10
23,2.400,22.100,-73.096,6
24,11.800,22.100,-152.439,55
25,415.400,415.400,-153.189,10
26,2.300,415.400,-117.211,3
27,4.400,415.400,-120.773,35
28,8.500,415.400,-73.532,19
29,5.500,415.400,-7.959,51
30,7.900,415.400,-108.284,23
31,9.200,415.400,-39.377,6
32,6.900,415.400,-134.721,53
33,73.900,415.400,-55.489,19
34,7.900,415.400,-54.470,52
35,4.500,415.400,-107.084,35
36,5.100,415.400,-97.927,29
37,4.500,415.400,-67.850,51
38,2.400,415.400,-96.939,41
39,8.000,415.400,-115.263,40
40,2.500,415.400,-98.914,44
41,4.200,415.400,-69.750,3
42,4.200,415.400,-118.580,35
43,2.400,415.400,-83.984,25
44,6.700,415.400,-55.150,18
45,4.000,415.400,-80.025,53
46,3.100,415.400,-181.252,34
47,24.500,415.400,-99.436,26
48,5.000,415.400,-111.577,25
49,4.800,415.400,-64.295,7
50,7.000,415.400,-98.200,27
51,6.900,415.400,-64.936,0
52,4.300,415.400,-127.484,26
53,7.100,415.400,-58.600,45
54,2.400,415.400,-56.350,43
55,5.600,415.400,-134.057,39
56,7.700,415.400,-22.936,28
57,4.900,415.400,-61.880,20
58,142.600,415.400,-112.136,33
59,14.600,415.400,-101.496,2
60,114.000,415.400,-50.627,49
61,2.000,415.400,-149.532,21
62,2.100,415.400,-128.813,40
63,4.800,415.400,-188.589,43
64,8.000,415.400,-135.538,18
65,4.200,415.400,-170.725,40
66,3.900,415.400,-125.300,8
67,3.200,415.400,-108.898,44
68,3.900,415.400,-127.652,9
69,3.500,415.400,-149.568,13
70,4.800,415.400,-180.511,50
71,9.400,415.400,-158.043,40
72,3.300,415.400,-192.591,30
73,4.800,415.400,-110.725,1
74,265.600,415.400,-134.902,12
75,2.500,415.400,-188.834,36
76,306.100,415.400,-131.966,15
77,3.900,415.400,-73.129,35
78,6.100,415.400,-92.052,41
79,4.900,415.400,-75.846,51
80,8.600,415.400,-99.511,9
81,8.300,415.400,-88.264,0
82,92.900,415.400,-142.468,30
83,4.500,415.400,-111.088,48
84,5.300,415.400,-105.075,13
85,3.000,415.400,-147.847,55
86,126.500,415.400,-65.946,46
87,7.800,415.400,-61.150,53
88,8.000,415.400,-84.632,11
89,31.800,415.400,-113.866,25
90,8.500,415.400,-91.079,9
91,6.900,415.400,-139.264,50
92,4.900,415.400,-103.696,39
93,3.900,415.400,-109.809,46
94,8.800,415.400,-96.177,37
95,4.900,415.400,-127.371,35
96,8.000,415.400,-83.070,28
97,3.200,415.400,-139.171,6
98,7.600,415.400,-85.705,22
99,3.200,415.400,-81.200,12
100,2.400,415.400,-119.779,1
101,4.700,415.400,-147.134,42
102,8.000,415.400,-56.104,25
103,4.400,415.400,-85.380,31
104,8.700,415.400,-75.832,11
105,9.000,415.400,-65.116,7
106,5.700,415.400,-115.066,13
107,3.000,415.400,-95.548,55
108,61.600,415.400,-77.329,41
109,7.100,415.400,-98.271,5
110,14.400,415.400,-97.702,25
111,2.500,415.400,-112.768,1
112,3.200,415.400,-148.961,20
113,7.200,415.400,-146.625,11
114,47.300,415.400,-189.975,27
115,8.800,415.400,-60.470,25
116,6.100,415.400,-56.443,4
117,1.900,415.400,-126.846,26
118,8.900,415.400,-147.866,46
119,5.500,415.400,-116.909,16
120,2.300,415.400,-87.295,2
121,8.200,415.400,-138.543,2
122,5.500,415.400,-106.675,26
123,2.800,415.400,-148.900,0
124,8.500,415.400,-53.382,3
125,33.600,415.400,-147.111,2
126,4.700,415.400,-153.238,5
127,7.800,415.400,-90.973,23
128,2.300,415.400,-109.211,7
129,2.700,415.400,-126.234,8
130,2.400,415.400,-138.193,16
131,4.700,415.400,-85.675,1
132,4.700,415.400,-74.734,36
133,172.200,415.400,-149.768,20
134,7.400,415.400,-33.134,26
135,60.500,415.400,-95.230,30
136,2.700,415.400,-79.295,7
137,4.500,415.400,-122.475,20
138,8.100,415.400,-73.246,1
139,9.000,415.400,-68.332,15
140,4.600,415.400,-74.829,52
141,41.900,415.400,-95.263,25
142,2.600,415.400,-90.964,38
143,4.800,415.400,-145.807,17
144,4.800,415.400,-85.318,50
145,7.800,415.400,-118.598,29
146,9.000,415.400,-90.261,54
147,6.900,415.400,-99.864,43
148,2.100,415.400,-187.636,1
149,5.800,415.400,-59.902,19
150,42.400,415.400,-86.434,41
151,4.700,415.400,-159.441,31
152,4.800,415.400,-139.705,53
153,7.300,415.400,-97.616,40
154,6.600,415.400,-135.052,43
155,2.400,415.400,-164.798,27
156,3.300,415.400,-150.973,17
157,4.700,415.400,-198.789,4
158,2.900,415.400,-109.986,14
159,8.400,415.400,-73.005,46
160,4.600,415.400,-121.400,49
161,2.700,415.400,-118.782,2
162,8.500,415.400,-122.729,4
163,2.300,415.400,-139.445,16
164,41.200,415.400,-128.570,7
165,1.900,415.400,-174.625,29
166,2.400,415.400,-140.995,52
167,3.000,415.400,-111.470,7
168,6.600,415.400,-128.332,0
169,3.600,415.400,-57.782,34
170,3.100,415.400,-115.102,31
171,4.500,415.400,-111.430,6
172,2.200,415.400,-148.289,1
173,2.100,415.400,-201.048,48
174,102.700,415.400,-109.904,28
175,4.300,415.400,-127.977,55
176,2.300,415.400,-113.061,47
177,3.100,415.400,-126.723,21
178,8.400,415.400,-172.371,17
179,6.500,415.400,-150.180,40
180,6.500,415.400,-116.621,39
181,4.400,415.400,-131.514,43
182,4.400,415.400,-142.097,5
183,7.300,415.400,-167.539,46
184,4.200,415.400,-154.879,13
185,3.600,415.400,-66.493,36
186,2.800,415.400,-144.082,11
187,6.600,415.400,-193.264,15
188,21.900,415.400,-58.614,45
189,4.300,415.400,-140.689,20
190,8.800,415.400,-192.941,5
191,95.400,415.400,-125.918,39
192,8.000,415.400,-134.088,12
193,7.500,415.400,-141.664,4
194,7.500,415.400,-96.879,14
195,8.600,415.400,-134.955,8
196,7.600,415.400,-67.384,34
197,6.200,415.400,-22.521,51
198,5.300,415.400,-135.266,35
199,2.300,415.400,-150.330,7
200,7.100,415.400,-165.446,25
201,3.000,415.400,-180.234,39
202,2.300,415.400,-167.620,55
203,2.200,415.400,-191.179,54
204,3.300,415.400,-113.025,8
205,395.600,415.400,-96.132,24
206,2.200,415.400,-181.327,14
207,1.900,415.400,-132.679,11
208,4.100,415.400,-103.007,54
209,47.600,415.400,-38.945,9
210,7.500,415.400,-110.291,18
211,4.300,415.400,-86.064,47
212,3.200,415.400,-167.695,16
213,4.900,415.400,-161.823,14
214,2.400,415.400,-194.464,36
215,153.000,415.400,-171.634,42
216,3.200,415.400,-99.645,20
217,2.200,415.400,-214.191,26
218,3.900,415.400,-173.173,22
219,3.000,415.400,-160.964,0
220,3.500,415.400,-129.698,14
221,8.700,415.400,-119.200,51
222,6.500,415.400,-93.263,13
223,8.000,415.400,-148.636,25
224,44.100,415.400,-126.884,11
225,7.000,415.400,-126.757,36
226,3.300,415.400,-110.132,8
227,7.800,415.400,-155.179,31
228,4.500,415.400,-100.273,55
229,4.800,415.400,-100.130,30
230,9.100,415.400,-104.786,41
231,3.200,415.400,-71.279,48
232,196.700,415.400,-55.239,33
233,4.200,415.400,-100.823,34
234,2.100,415.400,-137.921,17
235,6.100,415.400,-175.859,51
236,2.700,415.400,-99.509,12
237,2.700,415.400,-88.970,24
238,3.400,415.400,-142.013,2
239,4.300,415.400,-136.086,3
240,4.900,415.400,-40.700,8
241,3.200,415.400,-84.066,15
242,6.000,415.400,-106.488,30
243,7.900,415.400,-79.016,46
244,4.900,415.400,-57.043,28
245,2.700,415.400,-121.664,15
246,8.000,415.400,-107.457,13
247,8.600,415.400,-76.879,18
248,7.900,415.400,-56.975,13
249,26.800,415.400,-71.757,23
250,3.600,415.400,-67.932,13
251,5.600,415.400,-73.796,44
252,4.600,415.400,-80.520,13
253,3.300,415.400,-105.309,1
254,2.400,415.400,-150.439,21
255,3.400,415.400,-169.470,54
256,8.500,415.400,-150.514,6
257,2.600,415.400,-96.546,36
258,2.300,415.400,-245.154,15
259,3.700,415.400,-98.416,12
260,2.000,415.400,-166.723,2
261,7.400,415.400,-129.916,12
262,3.000,415.400,-111.804,2
263,6.900,415.400,-78.043,8
264,4.400,415.400,-151.413,10
265,5.400,415.400,-83.546,40
266,2.300,415.400,-65.154,20
267,3.200,415.400,-99.754,51
268,8.500,415.400,-84.580,28
269,3.200,415.400,-96.625,2
270,6.100,415.400,-39.866,43
271,26.900,415.400,-79.782,50
272,8.300,415.400,-92.429,10
273,26.000,415.400,-55.293,17
274,8.800,415.400,-106.780,23
275,8.700,415.400,-82.125,13
276,9.000,415.400,-31.195,10
277,7.000,415.400,-54.302,23
278,3.800,415.400,-50.016,38
279,9.400,415.400,-25.575,39
280,12.900,415.400,-66.952,29
281,31.100,415.400,-55.652,3
282,2.500,415.400,-48.738,42
283,4.000,415.400,-111.559,26
284,4.500,415.400,-94.109,37
285,2.400,415.400,-148.898,26
286,8.000,415.400,-104.241,0
287,11.100,415.400,-88.323,27
288,5.600,415.400,-133.284,33
289,167.500,415.400,-140.888,11
290,2.400,415.400,-128.123,14
291,5.100,415.400,-97.955,26
292,2.200,415.400,-160.382,33
293,4.900,415.400,-91.650,1
294,4.600,415.400,-136.639,3
295,8.900,415.400,-125.116,14
296,7.500,415.400,-150.679,9
297,4.800,415.400,-116.054,8
298,5.600,415.400,-41.313,2
299,32.800,415.400,-97.025,46
300,7.000,415.400,-135.123,10
301,5.900,415.400,-122.005,50
302,3.300,415.400,-74.334,54
303,5.300,415.400,-110.071,18
304,71.400,415.400,-93.829,43
305,2.800,415.400,-179.775,50
306,4.600,415.400,-97.186,16
307,4.800,415.400,-127.216,39
308,2.200,415.400,-146.368,33
309,3.400,415.400,-129.702,11
310,8.000,415.400,-107.559,19
311,2.300,415.400,-189.198,17
312,7.000,415.400,-180.113,41
313,44.000,415.400,-154.318,36
314,2.500,415.400,-113.136,44
315,62.100,415.400,-89.659,40
316,4.100,415.400,-95.780,10
317,3.100,415.400,-174.338,50
318,2.200,415.400,-92.936,15
319,4.100,415.400,-82.491,8
320,51.100,415.400,-131.861,19
321,24.900,415.400,-101.480,51
322,6.600,415.400,-111.146,52
323,3.900,415.400,-97.914,12
324,142.800,415.400,-83.914,17
325,5.000,415.400,-143.470,8
326,4.300,415.400,-100.909,29
327,7.500,415.400,-90.591,18
328,7.000,415.400,-65.754,30
329,6.100,415.400,-93.961,26
330,4.200,415.400,-130.480,20
331,4.000,415.400,-62.529,42
332,152.700,415.400,-63.045,35
333,3.100,415.400,-110.725,11
334,8.700,415.400,-128.220,8
335,8.000,415.400,-162.073,14
336,6.800,415.400,-90.875,38
337,4.700,415.400,-126.029,48
338,12.900,415.400,-175.493,42
339,2.400,415.400,-90.073,2
340,34.300,415.400,-113.618,33
341,2.900,415.400,-67.102,40
342,8.100,415.400,-159.686,38
343,7.100,415.400,-80.257,41
344,1.500,415.400,-180.113,12
345,4.600,415.400,-152.304,51
346,117.100,415.400,-61.382,28
347,105.000,415.400,-100.639,45
348,5.700,415.400,-91.716,22
349,10.500,415.400,-110.661,52
350,4.800,415.400,-130.095,14
351,5.300,415.400,-187.075,33
352,4.600,415.400,-101.507,1
353,3.100,415.400,-83.948,15
354,4.900,415.400,-100.011,32
355,7.200,415.400,-94.346,4
356,12.600,415.400,-76.504,50
357,2.300,415.400,-182.616,13
358,3.000,415.400,-136.627,49
359,4.500,415.400,-178.961,21
360,2.200,415.400,-186.154,29
361,87.900,415.400,-93.816,6
362,7.500,415.400,-172.243,21
363,13.200,415.400,-178.813,27
364,395.300,415.400,-96.166,33
365,32.500,415.400,-69.850,37
366,4.700,415.400,-140.346,53
367,53.300,415.400,-150.916,48
368,1.200,415.400,-184.218,46
369,3.200,415.400,-302.204,40
370,2.900,415.400,-218.723,39
371,4.800,415.400,-133.014,25
372,2.000,415.400,-113.146,28
373,4.500,415.400,-174.271,23
374,5.000,415.400,-143.620,1
375,6.700,415.400,-112.248,12
376,5.300,415.400,-108.220,0
377,4.800,415.400,-114.377,1
378,184.300,415.400,-70.293,42
379,113.400,415.400,-70.050,28
380,3.000,415.400,-163.182,17
381,2.400,415.400,-142.954,17
382,6.900,415.400,-88.723,2
383,192.700,415.400,-128.861,1
384,2.900,415.400,-140.877,25
385,33.200,415.400,-179.386,28
386,2.900,415.400,-145.516,33
387,2.300,415.400,-207.418,19
388,7.100,415.400,-232.230,38
389,2.400,415.400,-297.168,28
390,136.700,415.400,-157.296,40
391,6.000,415.400,-111.398,36
392,108.100,415.400,-254.225,55
393,11.800,415.400,-163.779,28
394,3.800,415.400,-156.209,38
395,4.100,415.400,-181.571,50
396,4.700,415.400,-103.107,10
397,4.300,415.400,-113.529,50
398,2.300,415.400,-174.982,22
399,17.000,415.400,-193.098,46
400,6.100,415.400,-115.534,53
401,2.600,415.400,-126.348,27
402,5.300,415.400,-125.579,37
403,3.000,415.400,-137.246,9
404,6.600,415.400,-63.868,5
405,2.600,415.400,-105.280,34
406,3.700,415.400,-143.666,50
407,2.800,415.400,-142.982,18
408,7.200,415.400,-109.593,30
409,5.600,415.400,-104.730,38
410,13.900,415.400,-126.388,31
411,7.100,415.400,-89.055,24
412,4.700,415.400,-203.079,0
413,4.500,415.400,-135.679,55
414,4.500,415.400,-60.398,38
415,2.500,415.400,-123.370,28
416,2.500,415.400,-117.471,1
417,6.600,415.400,-64.105,32
418,2.300,415.400,-124.186,32
419,12.800,415.400,-40.591,32
420,7.200,415.400,-87.279,52
421,151.700,415.400,-97.025,15
